"Sigla da IES"	"Instituição de Ensino"	"Código do Programa"	"Programa"	"Ano da Publicação"	"Título"	"Produção Glosada?"	"Ordem"	"Autor"	"Categoria"	"Tipo de Produção"	"Subtipo"	"Nome do Detalhamento"	"Valor do Detalhamento"	"Área de Concentração"	"Linha de Pesquisa"	"Projeto de Pesquisa"	"A Produção é vinculada a Trabalho de Conclusão?"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	"1"	"EDUARDO BORGES GOMES"	"Discente - null"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	"2"	"MARLI FATIMA VICK VIEIRA"	"Participante Externo"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	"3"	"ANDRE LUIZ MACIEL SANTANA"	"Egresso - null"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	"4"	"JULIA PERON METZGER"	"Discente - null"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	"5"	"RAPHAEL DA SILVA"	"Discente - null"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	"6"	"ANDRE LUIS ALICE RAABE"	"Docente"	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	""	""	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"Cidade do evento"	"Recife"	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"Divulgação"	"MEIO DIGITAL"	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"Edição / Número"	"23"	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
"UNIVALI"	"UNIVERSIDADE DO VALE DO ITAJAÍ"	"41005015010P7"	"COMPUTAÇÃO"	"2017"	"A EXPERIÊNCIA DE IMPLANTAÇÃO DE UMA DISCIPLINA MAKER EM UMA ESCOLA DE EDUCAÇÃO BÁSICA"	"Não"	""	""	""	"BIBLIOGRÁFICA"	"TRABALHO EM ANAIS"	"Fascículo"	"-"	"COMPUTAÇÃO APLICADA"	"INFORMÁTICA NA EDUCAÇÃO E ENGENHARIA DE SOFTWARE"	"Lite is Cool - Introdução a programação, robótica e implementação de processadores"	"Não"
